Company,ZIP,City,Country,State,Sales,County,latitude,longitude,Year
Fabory USA,49512,Grand Rapids,USA,MI,0,Kent,42.8821,-85.54764,2023
TRU-FLEX,47991,WEST LEBANON,USA,IN,0,Warren,40.28034,-87.44794,2023
"Perforated Tube Works, LLC",14624,Rochester,USA,NY,0,Monroe,43.12765,-77.7317,2023
PACCAR PARTS DIVISION,98057,RENTON,USA,WA,0,King,47.47188,-122.21961,2023
DPF Alternatives Bonner's Ferry,83805,Bonners Ferry,USA,ID,0,Boundary,48.83203,-116.49248,2023
Heavy Duty Manufacturing Inc,30093,Norcross,USA,GA,0,Gwinnett,33.90879,-84.17839,2023
TNT Parts,31021,DUBLIN,USA,GA,7389,Laurens,32.49002,-82.93435,2023
TNT Parts,30321,Forest Park,USA,GA,6979,Clayton,33.622055,-84.369095,2023
PAI Industries,30024,Suwanee,USA,GA,0,Gwinnett,34.06341,-84.09116,2023
PAI Industries,30024,Suwanee,USA,GA,0,Gwinnett,34.06341,-84.09116,2023
Middle Georgia Freightliner,31216,MACON,USA,GA,1874,Bibb,32.72885,-83.67914,2023
General Dynamics-Nassco,92113,San Diego,USA,CA,0,San Diego,32.69591,-117.12012,2023
Peterbilt of Atlanta,30233,Jackson,USA,GA,13529,Butts,33.29492,-83.97501,2023
Meis Construction INc,67213,Wichita,USA,KS,0,Sedgwick,37.66722,-97.36498,2023
Grand Rock Company Inc,44077,Painsville,USA,OH,0,Lake,41.69933,-81.21142,2023
Denso Products America (Expo House),92841,Garden Grove,USA,CA,0,Orange,33.7868,-117.98207,2023
Yancey Bros. CO,30168,AUSTELL,USA,GA,0,Cobb,33.78354,-84.58765,2023
Michigan Truck Spring,48601,Saginaw,USA,MI,0,Saginaw,43.40096,-83.8952,2023
Great American Inc,30122,Lithia Springs,USA,GA,38678,Douglas,33.76329,-84.6386,2023
Nelson Global Products,53913,Baraboo,USA,WI,0,Sauk,43.49213,-89.72858,2023
Denso Products America,90810,Long Beach,USA,CA,0,Los Angeles,33.81912,-118.22096,2023
Superior (Denso) Turbo Injection,48210,Detroit,USA,MI,0,Wayne,42.33644,-83.12875,2023
B&C Truck Elec Svc Diesel,64108,Kansas City,USA,MO,0,Jackson,39.08413,-94.58449,2023
Nelson Global Products,53589,Stougton,USA,WI,0,Dane,42.92684,-89.21182,2023
D&W (Denso) Diesel,13021,Auburn,USA,NY,0,Cayuga,42.91713,-76.5542,2023
Romaine Electric Corp.,98031,KENT,USA,WA,0,King,47.4055,-122.1943,2023
SOUTHWEST DIESEL & ELECTRICAL,85009,PHOENIX,USA,AZ,0,Maricopa,33.44457,-112.12661,2023
SOUTH COAST TRANSIT MGMT,02740,NEW BEDFORD,USA,MA,0,Bristol,41.63802,-70.93839,2023
"Tri-State Truck Center, Inc.",38126,Memphis,USA,TN,8953,Shelby,35.12695,-90.04378,2023
TransPower Inc.,31707,Albany,USA,GA,0,Dougherty,31.58736,-84.20689,2023
"D & W Diesel, Inc.",13021,Auburn,USA,NY,1380298,Cayuga,42.91713,-76.5542,2023
Yancey Bus Sales & Service,30168,AUSTELL,USA,GA,0,Cobb,33.78354,-84.58765,2023
Mondial Automotive Inc.,11356,College Point,USA,NY,106,Queens,40.78492,-73.84149,2023
Mondial Automotive Inc.,11356,College Point,USA,NY,12625,Queens,40.78492,-73.84149,2023
Discount Diesel Truck Parts Inc.,33178,Medley,USA,FL,1686,Miami-Dade,25.83578,-80.4213,2023
Rechtien International Trucks,33166,Miami,USA,FL,26808,Miami-Dade,25.8253,-80.31049,2023
"Stone Truck Parts, LLC",27529,Garner,USA,NC,0,Wake,35.65048,-78.58167,2023
"Southern States Utility Trailer Sales, I",39218,Richland,USA,MS,0,Rankin,32.22825,-90.15857,2023
"Tri-State Truck Center, Inc.",39301,Meridian,USA,MS,0,Lauderdale,32.27289,-88.59226,2023
"Thompson Tractor Company, Inc.",35202,Birmingham,USA,AL,6560,Jefferson,33.518589,-86.810356,2023
Cumberland International Trucks,32805,Orlando,USA,FL,0,Orange,28.52981,-81.40614,2023
"Tri-State Truck Center, Inc.",38305,Jackson,USA,TN,0,Madison,35.70108,-88.76779,2023
"Superior Diesel Repair, Inc.",48210,Detroit,USA,MI,266224,Wayne,42.33644,-83.12875,2023
"Triple-T Truck Centers - Wilmington, NC",28401,Wilmington,USA,NC,0,New Hanover,34.29053,-77.97053,2023
"NG1 Technologies, Inc.",34239,Sarasota,USA,FL,0,Sarasota,27.31094,-82.52179,2023
"NG1 Technologies, Inc.",34239,Sarasota,USA,FL,0,Sarasota,27.31094,-82.52179,2023
"Raney's Truck Parts, Inc.",34482,Ocala,USA,FL,17545,Marion,29.24984,-82.27702,2023
Bergey's Truck Center,18964,Souderton,USA,PA,2495,Montgomery,40.29759,-75.33327,2023
Crow's Truck Service,38118,Memphis,USA,TN,0,Shelby,35.03655,-89.93021,2023
"Michigan Truck Spring of Saginaw, Inc.",48601,Saginaw,USA,MI,0,Saginaw,43.40096,-83.8952,2023
"Lexington Truck Sales, Inc.",40511,Lexington,USA,KY,4033,Fayette,38.13278,-84.47392,2023
"Lee-Smith, Inc.",37407,Chattanooga,USA,TN,0,Hamilton,35.002,-85.28941,2023
Cummins Power South,30349,Atlanta,USA,GA,0,Fulton,33.62346,-84.52591,2023
Cummins Power South,34474,Ocala,USA,FL,0,Marion,29.15515,-82.21106,2023
"Southern States Utility Trailer Sales, I",38654,Olive Branch,USA,MS,0,DeSoto,34.93635,-89.82409,2023
Ring Power Corporation,33578,Riverview,USA,FL,0,Hillsborough,27.86187,-82.34775,2023
WHEELER BROTHER'S INC,15501,SOMERSET,USA,PA,0,SOMERSET,40.03582,-79.13024,2023
Stewart & Stevenson FDDA LLC,32216,Jacksonville,USA,FL,0,Duval,30.27891,-81.58305,2023
Stewart & Stevenson FDDA LLC,33125,Miami,USA,FL,0,Miami-Dade,25.7839,-80.23738,2023
Emission & Cooling Solutions,38116,Memphis,USA,TN,13021,Shelby,35.03213,-90.01001,2023
Emission & Cooling Solutions,37211,Nashville,USA,TN,10503,Davidson,36.06704,-86.72345,2023
Emission & Cooling Solutions,30336,Atlanta,USA,GA,13573,Fulton,33.73718,-84.56768,2023
Ward International Trucks LLC,36605,Mobile,USA,AL,0,Mobile,30.60649,-88.09064,2023
Ward International Trucks LLC,36615,Mobile,USA,AL,8412,Mobile,30.63563,-88.06717,2023
Ward International Trucks LLC,32505,Pensacola,USA,FL,4765,Escambia,30.45575,-87.26082,2023
Ward International Trucks LLC,32303,Tallahassee,USA,FL,0,Leon,30.51237,-84.34386,2023
Childersburg Truck Service,35044,Childersburg,USA,AL,0,Talladega,33.26859,-86.36324,2023
"Lowell Transit Management, Inc.",01852,Lowell,USA,MA,0,Middlesex,42.63231,-71.29538,2023
LKQ Corporation,37013,Antioch,USA,TN,0,Davidson,36.04658,-86.63445,2023
"Palm Peterbilt Truck Centers, Inc.",33317,Ft. Lauderdale,USA,FL,0,Broward,26.11268,-80.22607,2023
"Palm Truck Centers, Inc.",33905,Ft. Myers,USA,FL,0,Lee,26.66873,-81.76166,2023
"Palm Isuzu Truck Centers, Inc.",34947,Ft. Pierce,USA,FL,0,Lee,27.44903,-80.37633,2023
"Palm Truck Centers, Inc.",33411,West Palm Beach,USA,FL,0,Palm Beach,26.71517,-80.20305,2023
"Palm Truck Centers, Inc.",33440,Clewiston,USA,FL,0,Hendry,26.54065,-81.04325,2023
"D & W Diesel, Inc. - Cleveland Branch",44137,Maple Heights,USA,OH,5716,Cuyahoga,41.40903,-81.56274,2023
The Service Company,45318,Covington,USA,OH,25400,Miami,40.12745,-84.35391,2023
The Service Company,45331,Greenville,USA,OH,115599,Darke,40.09729,-84.64616,2023
The Service Company,45414,Dayton,USA,OH,30892,Montgomery,39.84008,-84.21115,2023
Summit Truck Group,65803,Springfield,USA,MO,0,Greene,37.28464,-93.29036,2023
Roppel Industries,40204,Louisville,USA,KY,0,Jefferson,38.23873,-85.7208,2023
Stewart & Stevenson FDDA LLC,34981,Fort Pierce,USA,FL,0,St. Lucie,27.39329,-80.37163,2023
Summit Truck Group,64804,Joplin,USA,MO,0,Jasper,37.01955,-94.51137,2023
Rechtien International Trucks,34950,Ft. Pierce,USA,FL,4485,Saint Lucie,27.44341,-80.32969,2023
Freightliner of Maine,04401,Bangor,USA,ME,0,Penobscot,44.84711,-68.84654,2023
"Tri-State Truck Center, Inc.",65803,Springfield,USA,MO,0,Greene,37.28464,-93.29036,2023
Tri-State Truck Center-Joplin,64804,Joplin,USA,MO,45694,Jasper,37.01955,-94.51137,2023
"Bergey's GMC, Inc.",18969,Telford,USA,PA,259509,Bucks,40.32644,-75.37239,2023
M50 Truck & Auto Parts,48131,Dundee,USA,MI,1322,Monroe,41.96553,-83.67268,2023
Stewart & Stevenson FDDA LLC,33619,TAMPA,USA,FL,0,Hillsborough,27.93536,-82.37841,2023
"Principal Truck Supply, Inc.",43228,Columbus,USA,OH,0,Franklin,39.96367,-83.12478,2023
Wheeler Fleet Solutions,15501,SOMERSET,USA,PA,1500,SOMERSET,40.03582,-79.13024,2023
Wheeler Fleet Solutions,15501,SOMERSET,USA,PA,14855,SOMERSET,40.03582,-79.13024,2023
"American Truck Parts, Inc.",31533,Douglas,USA,GA,0,Coffee,31.55021,-82.8287,2023
Summit Truck Group,66118,Kansas City,USA,KS,0,Wyandotte,39.09946,-94.61348,2023
Grande Truck Center,78220,San Antonio,USA,TX,0,Bexar,29.41308,-98.40152,2023
Sun State International Trucks,33619,TAMPA,USA,FL,0,Hillsborough,27.93536,-82.37841,2023
Sun State International Trucks,33837,Davenport,USA,FL,0,Polk,28.19012,-81.59163,2023
Sun State International Trucks,33619,TAMPA,USA,FL,0,Hillsborough,27.93536,-82.37841,2023
Northern Ohio Truck Center,44857,Norwalk,USA,OH,11198,Huron,41.21785,-82.58212,2023
Rush Enterprises - Lowell,72745,Lowell,USA,AR,4958,Benton,36.2477,-94.10046,2023
"Best Deal Spring, Inc.",84651,Payson,USA,UT,0,Utah,39.95633,-111.69342,2023
"Best Deal Spring, Inc.",84501,Price,USA,UT,0,Carbon,39.53214,-110.80393,2023
"Best Deal Spring, Inc.",84790,St. George,USA,UT,0,Washington,37.04615,-113.55738,2023
"Best Deal Spring, Inc.",84078,Vernal,USA,UT,0,Uintah,40.46403,-109.5084,2023
Sioux Falls Kenworth,57104,Sioux Falls,USA,SD,6887,Minnehaha,43.6041,-96.70442,2023
Wayne Truck & Trailer Ltd.,45365,Sidney,USA,OH,0,Shelby,40.2828,-84.15582,2023
"Rush Entreprises - Kansas City, MO",64161,Kansas City,USA,MO,60,Jackson,39.16184,-94.44943,2023
"JX Enterprises, Inc. DBA JX Peterbilt",53029,Hartland,USA,WI,0,Waukesha,43.14381,-88.34624,2023
JX Truck Center - Bloomington,61701,Bloomington,USA,IL,0,McLean,40.47697,-88.99278,2023
Rechtien International Trucks,33312,Ft. Lauderdale,USA,FL,2144,Broward,26.08835,-80.18166,2023
Turbo Diesel & Electric Systems,30297,Forest Park,USA,GA,1192,Clayton,33.61511,-84.37145,2023
Holt Truck Centers - Oklahoma City,73106,Oklahoma City,USA,OK,34596,Oklahoma,35.4823,-97.53662,2023
Cumberland International Trucks,34482,Ocala,USA,FL,27295,Marion,29.24984,-82.27702,2023
Superior Turbo & Injection,49228,Blissfield,USA,MI,2070,Lenawee,41.8039,-83.88247,2023
Stewart & Stevenson FDDA LLC,32401,Panama City,USA,FL,0,Bay,30.14477,-85.67448,2023
"Stone Truck Parts, LLC",28466,Wallace,USA,NC,11883,Duplin,34.73219,-77.8954,2023
"Triple-T Truck Centers - Charleston, SC",29486,Summerville,USA,SC,0,Dorchester,33.10744,-80.1458,2023
"Triple-T Truck Centers - Florence, SC",29501,Florence,USA,SC,0,Florence,34.20414,-79.82654,2023
Bergey's Truck Center,08110,Pennsauken,USA,NJ,0,Camden,39.97243,-75.06021,2023
Summit Truck Group,75057,Lewisville,USA,TX,0,Denton,33.05012,-96.9772,2023
Summit Truck Group,76903,San Angelo,USA,TX,0,Tom Green,31.48168,-100.43787,2023
Summit Truck Group,87401,Farmington,USA,NM,0,San Juan,36.73824,-108.18377,2023
Roppel Industries,40511,Lexington,USA,KY,0,Fayette,38.13278,-84.47392,2023
Roppel Industries,43223,Columbus,USA,OH,0,Franklin,39.92636,-83.03395,2023
Gabrielli Truck Sales,11434,Jamaica,USA,NY,14628,Queens,40.67683,-73.77623,2023
Cambria Automotive Co. Inc,07201,Elizabeth,USA,NJ,9499,Union,40.67237,-74.17643,2023
"Wedige Radiator & AC, Inc.",53121,Elkhorn,USA,WI,0,Walworth,42.70989,-88.53028,2023
"Tri-State Truck Center, Inc.",38801,Tupelo,USA,MS,1154,Lee,34.22256,-88.7762,2023
"Pickarts Radiator Service, Inc.",54935,Fond Du Lac,USA,WI,15399,Fond Du Lac,43.77542,-88.43396,2023
Roppel Industries,43612,TOLEDO,USA,OH,0,Lucas,41.70946,-83.54899,2023
Roppel Industries,46825,Fort Wayne,USA,IN,0,Allen,41.15397,-85.12425,2023
Roppel Industries,47711,Evansville,USA,IN,0,Vanderburgh,38.0157,-87.53606,2023
Roppel Industries,37207,Nashville,USA,TN,0,Davidson,36.23278,-86.77765,2023
Roppel Industries,37909,Knoxville,USA,TN,0,Knox,35.94716,-84.02275,2023
"Truck Sales & Service, Inc.",44653,Midvale,USA,OH,0,Tuscarawas,40.43711,-81.37105,2023
"Truck Sales & Service, Inc.",44706,Canton,USA,OH,9743,Stark,40.75382,-81.4198,2023
Dublin Truck Parts LLC,31021,DUBLIN,USA,GA,3752,Laurens,32.49002,-82.93435,2023
Ace Supply & Distribution,64055,Independence,USA,MO,0,Jackson,39.05061,-94.39848,2023
Brooks Heavy Duty,31533,Douglas,USA,GA,0,Coffee,31.55021,-82.8287,2023
Freightliner of Arizona - Tolleson,85353,Tolleson,USA,AZ,0,Maricopa,33.41721,-112.27283,2023
Blaine Brothers- Blaine,55449,Blaine,USA,MN,596,Anoka,45.17284,-93.1953,2023
Yancey Power Systems,30735,Resaca,USA,GA,2200,Gordon,34.60183,-84.89375,2023
"North American Trailer Sales, LTD",55077,Inver Grove Heights,USA,MN,15027,Dakota,44.81989,-93.07574,2023
Rocky Mount Radiator,27803,Rocky Mount,USA,NC,3156,Nash,35.89627,-77.85407,2023
"Keystone Spring Service, Inc.",15201,Pittsburgh,USA,PA,0,Allegheny,40.47565,-79.95389,2023
"The Larson Group, Inc./ TLG Headquarters",65810,Springfield,USA,MO,0,Greene,37.1174,-93.31707,2023
TLG Peterbilt - Springfield,65757,Strafford,USA,MO,0,Greene,37.2838,-93.09861,2023
Holt Truck Centers - Enid,73701,Enid,USA,OK,0,Garfield,36.42323,-97.78833,2023
"HLMF Logistics, Inc.",28134,Pineville,USA,NC,806485,Mecklenburg,35.08364,-80.89125,2023
"Transpower, Inc.",31533,Douglas,USA,GA,0,Coffee,31.55021,-82.8287,2023
TLG Peterbilt - Fort Smith,72956,Van Buren,USA,AR,0,Crawford,35.46895,-94.3489,2023
Diesel Equipment Company,27416,Greensboro,USA,NC,3582,Guilford,36.0726355,-79.7919754,2023
Diesel Equipment Company,27406,Greensboro,USA,NC,4197,Guilford,35.9982,-79.76686,2023
Roppel Industries,46225,Indianapolis,USA,IN,0,Marion,39.74062,-86.16294,2023
D & W Diesel Inc,13206,Syracuse,USA,NY,0,Onondaga,43.07354,-76.10584,2023
TRP Chicago,60609,Chicago,USA,IL,0,Cook,41.81263,-87.65559,2023
Stewart & Stevenson FDDA LLC,33916,Ft. Myers,USA,FL,0,Lee,26.63998,-81.84104,2023
Allegiance Trucks,03103,Manchester,USA,NH,12262,Hillsborough,42.95536,-71.44463,2023
